Company Name,Domain,Industry,Location,Headcount,Linkedin,Description,Company Type,Keywords,Technologies,Tags
INOVIO Pharmaceuticals,inovio.com,Biotechnology Research,"Plymouth Meeting, Pennsylvania, United States",51-200,https://www.linkedin.com/company/inovio-pharmaceuticals,"INOVIO Pharmaceuticals is a biotechnology company that specializes in healthcare products and medical research, particularly in the field of pharmaceuticals.",public company,"pharmaceuticals, biotechnology, healthcare, medical research","Jquery Migrate, Google Analytics, Google Font Api, Apache, Bootstrap, Revslider, Php, Mysql, Addthis, Gsap, Twitter Emoji (Twemoji), Wordpress, Jquery Cdn, Apache Http Server, W3 Total Cache, Owl Carousel, Jquery",""
CND,cnd.com,Cosmetics,"San Diego, California, United States",51-200,https://www.linkedin.com/company/cnd,CND is an IT services company that specializes in cybersecurity solutions and technology consulting.,public company,"it services, cybersecurity solutions, technology consulting","Bootstrap, Cloudflare, Typekit, Google Font Api, Shopify, Php, Addthis, Jquery, Google Tag Manager, Optimizely, Hotjar, Facebook, Drupal, Apache, Modernizr, Lightbox, Ubuntu, Google Analytics",""
Myriad Genetics,myriad.com,Biotechnology Research,"Salt Lake City, Utah, United States",1001-5000,https://www.linkedin.com/company/myriad-genetics,Myriad Genetics is a biotechnology company that specializes in genetic testing and precision medicine.,public company,"biotechnology, genetic testing, healthcare, precision medicine","Twitter, Modernizr, Wordpress, Cloudflare, Google Tag Manager, Google Analytics, Jquery, Google Font Api, Facebook, Nginx, Php, Fingerprintjs, Mysql, Addtoany, Twitter Emoji (Twemoji), Crazy Egg, Recaptcha, Jquery Ui, New Relic, Font Awesome, Chart.Js, Wp Engine, Hsts, Http/3, Cloudflare Bot Management, Jquery Migrate, Osano, Yoast Seo, Uikit",""
CSL Behring,cslbehring.com,Biotechnology Research,"King of Prussia, Pennsylvania, United States",10001+,https://www.linkedin.com/company/csl-behring,CSL Behring is a biopharmaceutical company that specializes in plasma-derived therapies and conducts medical research.,public company,"biopharmaceuticals, healthcare, plasma-derived therapies, medical research","Google Tag Manager, Windows Server, Jquery, Google Font Api, Microsoft Asp.Net, Iis, Recaptcha, Bootstrap, Hammer.Js, Sitecore, Facebook, Google Analytics, Babel, Jquery Ui",""
New England Biolabs,neb.com,Biotechnology Research,"Ipswich, Massachusetts, United States",501-1000,https://www.linkedin.com/company/new-england-biolabs,New England Biolabs is a biotechnology company that specializes in molecular biology and genomics research and development.,privately held,"biotechnology, life sciences, research and development, molecular biology, genomics","Lightbox, Google Tag Manager, Sitecore, Cloudflare, Iis, Microsoft Asp.Net, Windows Server, Twitter, Google Analytics, Jquery",""
BioCentury,biocentury.com,Biotechnology Research,"Redwood City, California, United States",51-200,https://www.linkedin.com/company/biocentury,BioCentury is a biopharma analysis company that provides in-depth analysis on the biopharma industry driven by primary research and original reporting.,privately held,"biopharma analysis, biotech news, biopharma research, biopharma industry","Lodash, Angular, Google Font Api, Segment, Nginx, Sentry, Node.Js, Varnish, Iis, Windows Server, Lightbox, Google Tag Manager, React, Webpack, Next.Js, Hsts, Azure, Stripe, Amplitude",""
Abcam,abcam.com,Biotechnology Research,"Cambridge, United Kingdom",1001-5000,https://www.linkedin.com/company/abcam,"Abcam is a biotechnology company that specializes in providing antibodies, proteins, and assays for research purposes.",public company,"biotechnology, life sciences, research, antibodies, proteins, assays","Webpack, Windows Server, Iis, Modernizr, Jquery Ui, Jquery, Google Tag Manager, New Relic, Google Analytics",""
Elemis,elemis.com,Cosmetics,"London, United Kingdom",501-1000,https://www.linkedin.com/company/elemis,ELEMIS is a beauty and skincare company that offers premium cosmetic products focused on wellness.,public company,"beauty, skincare, cosmetics, wellness, spa","Criteo, Jquery Migrate, Prototype, Jquery, Cloudflare, Jquery Mobile, Jquery Ui, Animate.Css, Slick, Magento, Script.Aculo.Us, Recaptcha, Mysql, Platform.Sh, Google Tag Manager, Php, New Relic, Varnish, Webpack, Modernizr, Google Analytics, Vue.Js, Facebook",""
Alltech,alltech.com,Biotechnology Research,"Lexington, Kentucky, United States",5001-10000,https://www.linkedin.com/company/alltech,Alltech is a company in the agriculture industry that specializes in animal nutrition and biotechnology solutions for the food industry.,privately held,"agriculture, animal nutrition, biotechnology, food industry","Hubspot, Varnish, Mariadb, Modernizr, Pantheon, Addtoany, Hotjar, Google Font Api, Jquery, Google Analytics, Facebook, Php, Jquery Ui, New Relic, Nginx, Google Tag Manager, Font Awesome, Drupal, Zurb Foundation",""
Aroma-Zone,aroma-zone.com,Cosmetics,France,201-500,https://www.linkedin.com/company/aroma-zone,Aroma-Zone is a natural products company that specializes in aromatherapy and plant-based skincare.,partnership,"aromatherapy, natural products, skincare, essential oils, plant-based products","Node.Js, Nuxt.Js, Vue.Js, Sentry, Facebook, Google Tag Manager, Addthis, Google Analytics, Jquery Ui, Script.Aculo.Us, Php, Magento, Prototype, Jquery, Mysql",""
Danforth Plant Science Center,danforthcenter.org,Biotechnology Research,"St. Louis, Missouri, United States",201-500,https://www.linkedin.com/company/donald-danforth-plant-science-center,"Donald Danforth Plant Science Center is a leader in plant science research and biotechnology, specializing in agricultural innovation through genomics and plant genetics.",non profit,"plant science research, biotechnology, agricultural innovation, genomics, plant genetics","Babel, Jquery Ui, Gravity Forms, Facebook, Jquery Migrate, Php, Google Analytics, Slick, Google Tag Manager, Wordpress, Mysql, Yoast Seo, Jquery, Twitter Emoji (Twemoji)",""
Hairdreams,hairdreams.com,Cosmetics,"Graz, Austria",51-200,https://www.linkedin.com/company/hairdreams-haarhandelsgmbh,Hairdreams is a hair industry company that specializes in supplying professional human hair for hairdressers worldwide for lengthening and thickening purposes.,privately held,"hair industry, hair extensions, professional hair products, hair creation, hairdressers","Php, Lightbox, Woocommerce, Wordpress, Recaptcha, Mysql, Contao, Select2, Mootools, Modernizr, Intercom, Hotjar, Videojs, Google Analytics, Facebook, Trackjs, Jquery, Debian, Jquery Migrate, Google Tag Manager, Jquery Ui, Hammer.Js, Wp Rocket, Underscore.Js, Font Awesome, Swiper Slider, Apache, Google Font Api",""
Stylenanda,stylenanda.com,Cosmetics,"Seoul, South Korea",501-1000,https://www.linkedin.com/company/stylenanda,스타일난다 is a fashion and beauty retail company known for its trendy products.,privately held,"fashion, apparel, beauty, retail","Swiper Slider, Google Analytics Enhanced Ecommerce, Criteo, Hotjar, Google Analytics, Jquery, Cafe24, Facebook, Font Awesome, Openresty, Lua, Typekit, Jquery Ui, Google Tag Manager, Jquery Cdn, Cloudflare, Lightbox, Swiper, Nginx, Google Font Api, Fingerprintjs",""
Bioon,bioon.com,Biotechnology Research,"Shanghai, China",51-200,https://www.linkedin.com/company/-bioongroup,"BioonGroup is a biotech industry company that provides a wide range of services including consulting, branding, marketing, and event planning through its leading Chinese language media platform and professional services.",non profit,"biotech industry, pharmaceutical, biological research, medical services, media platform, consulting, branding, marketing, event planning","Jquery, Apache, Growingio, Google Analytics, Animate.Css, Bootstrap, Modernizr, Hsts, Owl Carousel, Google Tag Manager, Lightbox",""
ICON plc,iconplc.com,Biotechnology Research,"Dublin, Ireland",10001+,https://www.linkedin.com/company/icon-plc-2,ICON plc is a clinical research company that provides pharmaceutical services and conducts clinical trials in the biotechnology and healthcare industries.,public company,"clinical research, pharmaceutical services, clinical trials, biotechnology, healthcare","Addtoany, Drupal, Php, Akamai, Amazon Cloudfront, Amazon Elb, Jquery, Amazon Web Services, Google Tag Manager, Font Awesome, Handlebars, Lodash, Google Analytics, Vue.Js, Moment.Js, Pardot",""
MACKAY MEMORIAL HOSPITAL,mmh.org.tw,Biotechnology Research,"Taipei, Taiwan",1001-5000,https://www.linkedin.com/company/mackay-memorial-hospital,MACKAY MEMORIAL HOSPITAL is a healthcare institution that provides medical services and patient care.,privately held,"healthcare, hospital, medical services, patient care","",""
Shimadzu,shimadzu.com,Biotechnology Research,"Kyoto, Japan",10001+,https://www.linkedin.com/company/shimadzu-corporation,Shimadzu is a scientific equipment company that provides analytical instruments and laboratory technology.,public company,"scientific equipment, analytical instruments, laboratory technology, measurement solutions","Google Tag Manager, Chart.Js, Drupal, Apache, Php, Swiper Slider, Jquery, Google Analytics",""
Centre for Genomic Regulation,crg.eu,Biotechnology Research,"Barcelona, Spain",501-1000,https://www.linkedin.com/company/center-for-genomic-regulation-crg-,Centre for Genomic Regulation is a research institute focusing on genomics and biotechnology.,non profit,"genomics, research institute, biotechnology, life sciences","Jquery, Php, Modernizr, Apache, Google Font Api, Mailchimp, Drupal, Google Analytics, Bootstrap, Prettyphoto, Twitter, Google Tag Manager",""
Oxford Nanopore Technologies,nanoporetech.com,Biotechnology Research,"Oxford, United Kingdom",501-1000,https://www.linkedin.com/company/oxford-nanopore-technologies,Oxford Nanopore Technologies is a biotechnology company that specializes in DNA sequencing using nanopore technology.,public company,"biotechnology, life sciences, genomics, dna sequencing, nanopore technology","Kissmetrics, Gsap, Segment, Intercom, Youtube, Twitter, Apache, Hubspot, Google Analytics, Google Tag Manager, React, Amazon Web Services, Jquery, Hsts, Storyblok, Nuxt.Js, Vue.Js, Webpack, Amazon Elb, Drupal, Php, Amazon Cloudfront, Node.Js",""
Neal's Yard Remedies,nealsyardremedies.com,Cosmetics,"Gillingham, United Kingdom",201-500,https://www.linkedin.com/company/nealsyardremedies,Neal's Yard Remedies is a beauty and skincare company that offers organic products and natural remedies for wellness.,privately held,"beauty and skincare, organic products, wellness, natural remedies","Lightbox, Requirejs, Modernizr, Google Font Api, Quantcast, Google Maps, Criteo, Ruxit, Hotjar, Facebook, Jquery Ui, Google Tag Manager, Salesforce Commerce Cloud, Jquery, Google Analytics, Http/3, Hashnode, Bootstrap, Hsts, Gempages, Shopify, Cloudflare",""
